,username,following,followers,retweetcount,text,date
88,KushCurrency,923,97,1,"@tezoski @many_labs @Bitcoin @ethereum @tezos @dogecoin @AxieInfinity @Cardano @Shibtoken @apecoin @PancakeSwap @0xPolygon @Tether_to @solana Azâzêl started the Flood, Vulcan ended it.",2021-12-20 17:16:07+00:00
89,Jamil408155781,567,269,7,The ladies of @WempToken with #crypto @Tether_to founder @brockpierce at the Wallstreet Conference 😎😎😎 https://t.co/k91bR6EprX,2021-11-11 19:45:47+00:00
90,Economist_101,269,6,0,@LynAldenContact @gladstein Bitcoin only went up due to endless Tether printing/USD counterfeiting. It's a huge fraud! https://t.co/tHIPJHGjeL,2022-03-27 10:28:47+00:00
91,eBargainsToday,15804,7242,2,#Markets #Apecoin 2 key metrics point toward further downside for the entire crypto market: Futures data and decreased demand for Tether signal that the crypto market is set for another round of pain. https://t.co/fsHoeZQ6q1  | https://t.co/bv9adjCGEk  | https://t.co/FHLhKCQA7o https://t.co/4tuEz08AW0,2015-10-13 01:53:50+00:00
92,Astrochologist,364,8117,0,"@DroStar3 pretty much. Not my fight tho Im a ""tether"" 😶",2009-06-09 22:03:21+00:00
93,eternalfloette,138,138,0,"@Pl4sticWe4sel ""i want to lock him in a meat freezer"" and ""i want to put him in a hot air balloon and cut the tether"" are the two i rlly remember and still quote tbh",2020-09-14 05:05:50+00:00
94,mmomm4o,76,95,0,"@CoinMarketCap That's almost half the capitalization of all the steblecoins and only one Tether, unbelievable. Not surprising in principle, their stablecoins have been around the longest",2012-01-31 12:00:51+00:00
95,0xtdog,298,135,0,@sedCapital @mgnr_io Look into Evergrande and Tether. The ‘money’ flowing through Bitcoin is a shitshow,2021-10-14 04:22:23+00:00
96,topcryptostats,0,4609,0,"Tether - USDT
Price: $1.00
Change in 1h: +0.00060211%
Market cap: $83,161,890,187.67
Ranking: 3
#Tether #USDT",2016-04-30 15:47:58+00:00
97,willmatheson,2321,629,1,"Bot test:

My Coinbase wallet FTX wallet Binance wallet were hacked and I lost Tether and Bitcoin to a Russian credit card in Ukraine that an Elon Musk NFT currency exchange with a Tesla mortgage paid off student loans I need help to bet on sports",2009-02-22 03:20:45+00:00
98,CluelessConman,869,121,0,"SO close to a PF P4S2 kill, we were *one* tether break away from the end, it got borked, then some people had to go. PLEASE I JUST WANNA SAY I BEAT THIS TIER ALREADY",2010-06-11 04:21:23+00:00
99,kcaly82,44,32,13,Police deploy tether technology to end chase in Arizona https://t.co/RfqnWOqw6p,2011-11-30 23:29:40+00:00
100,ApeDegenCrypt,551,212,53,"We need to educate younger generations on #bitcoin stacking and protection of private wealth.
At #tether we're planning important investments on this matter. More details to come in coming weeks.",2022-04-21 00:41:38+00:00
101,SaintifiedMan,237,391,0,@zaifrmdanorth Ofc but there’s those weirdos who go around saying “ur not black ur a tether”😭😭,2020-01-04 19:20:03+00:00
102,TickerTop,49,812,0,"1: Bitcoin price is $38330.67 (-0.02% 1h)
2: Ethereum price is $2795.34 (0.16% 1h)
3: Tether price is $1.00 (0.00% 1h)
4: BNB price is $389.46 (-0.09% 1h)
5: USD Coin price is $1.00 (-0.00% 1h)
12: Dogecoin price is $0.13 (-0.55% 1h)",2018-02-06 13:13:35+00:00
103,1jaleelhassan,930,8824,0,I been gettin called a tether these last couple days😂😂 mfs clowns,2009-11-30 03:35:33+00:00
104,Jim0T,609,69,0,@JM_Woolrich tether that thang,2012-06-15 19:33:16+00:00
