,Unnamed: 0,username,following,followers,retweetcount,text,date,show
146,146,itsmebeanzy,571,201,829,warren buffett just said he would not buy all the bitcoin in the world for $25 this is because he does not know how to turn on a computer,2009-07-18 18:45:24+00:00,0
147,147,printhouseusa,1564,836,0,money is always needed as a method of exchanging value and bitcoin is the best at it,2010-01-12 09:53:13+00:00,0
148,148,dewsaz0,70,1,1175,firecracker balloon party_popper we are so extied to announced that the time has finally come presale start let us begin this journey together bitcoin fan club token more details token,2022-03-16 03:18:22+00:00,1
149,149,JackJhe42,47,888,853,just in a mysterious whale has purchased $71 million in the past 7 days,2017-10-21 03:08:26+00:00,0
150,150,VadimPonomaren8,91,11,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2021-05-12 20:54:13+00:00,0
151,151,homepomegranate,967,188,0,i wish someone would help me write this essay… my metamask wallet was stolen and coinbase bitcoin i need someone to make me twitch emotes,2017-05-13 13:26:44+00:00,0
152,152,RektHQnl,493,154,0,wait for below $28 00 before hell really opens up,2021-02-24 12:32:31+00:00,0
153,153,rusapi3,1661,1489,79,when do you think will hit $2t in market capitalization,2008-01-13 21:35:58+00:00,0
154,154,IgorLesoviy,37,7,59,1 like for 1 retweet for 1 comment for,2022-04-22 10:25:58+00:00,1
155,155,Yunsik253,3872,769,0,is cancer,2018-08-09 20:26:11+00:00,0
156,156,dogeneedswater,166,67,79,when do you think will hit $2t in market capitalization,2022-01-26 11:36:10+00:00,1
157,157,crow8987,485,40,397,missed time nft > how to win a gas war on an nft drop 101 (as someone who wins 99 8% of them) stage 1 preparation > open the drop website on tab 1 > find and open the drop's contract on etherscan on tab 2 > open on tab 3 stage 2 minting a thread,2011-10-20 02:35:08+00:00,0
158,158,WerewolfMoms,608,2696,0,i actually invented bitcoin for 400 dollars i will shut it down right fucking now,2018-07-28 02:15:34+00:00,0
159,159,128_0G,280,614,359,'s still in its' early adoption stage just like the rest of the market ( are still very small vs other asset classes) 's ~$750 billion or 's ~$300 million mc/network value gives you a sense of how early we are (huge potential return),2021-05-16 01:43:14+00:00,0
