,Unnamed: 0,username,following,followers,retweetcount,text,date,show
125,125,amihajlovic78,4985,327,162,free nft giveaway follow us like retweet and retweet pinned comment your $eth address,2013-03-27 03:27:59+00:00,0
126,126,Marsel586,15227,15685,0,we have learned a lot from the existing projects this time they will most likely be very developed because this project has a lot of support,2021-09-04 16:40:00+00:00,0
127,127,JDDFYS,843,397,26,a lot of scared money asking me about if i've sold or changed my targets for $matic no i have not here is my condensed thesis on why i think $matic polygon will dominate layer 2 and scale ethereum not financial advice,2022-03-04 01:54:56+00:00,1
128,128,CryptoDirtyMike,73,130,4,$wanc just launched today on fire rocket fire,2022-01-10 18:53:24+00:00,1
129,129,AltcoinFGI,134,7177,1,ethereum classic fear and greed index is currently 18 strong fear 24h technical analysis index 14 extreme sell relative strength index 38 current price is 25 620012432865 usd live analysis for $etc and 100 other and,2020-05-12 10:45:13+00:00,0
130,130,KonnieTraffic,0,2,0,cool found in a blue vault at this location join me playing it is awesome,2020-11-11 07:09:30+00:00,0
131,131,Solsun8317,340,72,0,solsun found in a blue vault at this location join me playing it is awesome,2022-01-19 04:15:10+00:00,1
132,132,yubBIGWIN,2020,35,11400,explore phemex universe globe_showing_Europe-Africa and visit planet bitcoin ethereum sand and doge star-struck to collect your very own citizen phemex card flower_playing_cards grab your card and earn bonuses now downwards_button,2022-03-04 15:20:23+00:00,1
133,133,naheedolucky,932,11,425,_alienss 10 nft rocket rocket easy to join free giveaway money_with_wings rt&like this tweet rocket heart_suit and tag 2 friends people_hugging join discord follow _alienss fire,2022-04-29 15:26:46+00:00,1
134,134,PerthVirtual,10,12,0,get perth virtual real estate,2022-01-04 10:45:12+00:00,1
135,135,RealDNewsMag,1580,11399,1,"""ethereum fees jumped 86% in q1 2022 $2 1 billion in eth burned"" via today this is the current top trending news with frequent shares and strong engagement across social media social insights $eth source backhand_index_pointing_down",2009-06-11 22:00:26+00:00,0
136,136,EmilyAnne_AI,29982,32584,4,great speakers _ai _,2012-06-23 01:57:59+00:00,0
137,137,redniro,211,68,420,drop your eth wallet i'll give my nft as fast as i can high_voltage,2010-10-31 10:30:12+00:00,0
138,138,maxcao2204,1520,569,0,check out this item on opensea via,2021-03-15 09:28:14+00:00,0
139,139,Marsel586,15227,15685,0,the ethax project is developing and achieving great success in business a team of professionals achieves their goals and increases their potential and team work hard,2021-09-04 16:40:00+00:00,0
140,140,raylove_eth,262,57,1,i have zero positive vibe for the token market of the crypto space this month… i'm going full in on nice bluechip nfts no cap yugalab bout to drain the whole system or what,2021-09-03 00:10:17+00:00,0
141,141,CryptoDirtyMike,73,130,5,$wanc just launched today on fire rocket fire,2022-01-10 18:53:24+00:00,1
142,142,gweiman_eth,2945,3169,59,how no big crypto youtuber is talking about digits 3 digits did 50x in 1 week 4 digits did 25x in 5 days this is bigger than the most successful so far no pr nor marketing pure organic community driven movement,2020-04-18 04:57:17+00:00,0
